state,rain_pct,rain_dol,rain_color,totbal_pct,totbal_dol,totbal_color,totbal_rain_pct_dif
Washington,1.1391876,305.3,#D5AB53,23.5886089,6321.7,#3477A5,22.4494213
Illinois,1.3484661,600.0,#D5AB53,3.3711653,1500.0,#3477A5,2.0226992
New York,3.8877416,3351.0,#D5AB53,35.4003759,30513.0,#3477A5,31.512634300000002
Montana,4.3951132,118.0,#D5AB53,28.9334763,776.8059712,#3477A5,24.538363099999998
Maryland,5.4742377,1160.226358,#D5AB53,23.0449996,4884.23,#3477A5,17.5707619
Delaware,5.5040647,280.3,#D5AB53,44.594117,2271.0,#3477A5,39.090052299999996
Rhode Island,5.5651827,253.260983,#D5AB53,8.5428912,388.770886,#3477A5,2.9777084999999994
Florida,6.344123,2729.8,#D5AB53,32.6007232,14027.7,#3477A5,26.256600199999998
Kansas,6.4303857,600.0,#D5AB53,17.5538813,1637.9,#3477A5,11.1234956
Louisiana,7.1602287,720.816069,#D5AB53,22.5660788,2271.71,#3477A5,15.405850099999999
Missouri,7.2915388,772.4,#D5AB53,36.3330847,3848.8,#3477A5,29.041545900000003
Nevada,7.315709099999999,340.1,#D5AB53,20.7210308,963.3,#3477A5,13.405321700000002
Pennsylvania,7.4271794,2866.0,#D5AB53,24.1551778,9321.0,#3477A5,16.7279984
Arizona,7.4640623,979.8,#D5AB53,22.5658762,2962.2,#3477A5,15.101813900000002
Tennessee,8.810923299999999,1550.0,#EED17E,33.390557,5874.0,#74AAC7,24.579633700000002
Wisconsin,8.9602412,1729.9,#D5AB53,23.6605478,4568.0,#3477A5,14.7003066
Indiana,9.0291966,1644.0,#D5AB53,28.0569652,5108.5,#3477A5,19.0277686
Virginia,9.1317941,2138.1,#D5AB53,18.1649284,4253.1,#3477A5,9.0331343
New Jersey,9.2525835,4463.4,#D5AB53,12.9402253,6242.3,#3477A5,3.6876417999999997
Mississippi,9.5566248,556.1,#D5AB53,9.5566248,556.1,#3477A5,0.0
Ohio,9.6776762,2700.468452,#D5AB53,19.5385927,5452.07,#3477A5,9.860916499999998
Utah,10.0051323,1033.2,#D5AB53,20.8488578,2153.0,#3477A5,10.843725500000001
Iowa,10.0592372,816.8,#D5AB53,24.523701,1991.3,#3477A5,14.464463799999999
Michigan,10.7793024,1457.2,#D5AB53,31.329659399999997,4235.3,#3477A5,20.550356999999998
Kentucky,11.614768,1506.9,#D5AB53,24.0935718,3125.9,#3477A5,12.4788038
South Carolina,11.6693679,1209.6,#D5AB53,32.9590183,3416.4,#3477A5,21.2896504
North Carolina,11.9716308,3116.0,#D5AB53,21.049092899999998,5478.7,#3477A5,9.077462099999998
Minnesota,12.0911314,3005.745,#D5AB53,38.638292,9605.13,#3477A5,26.547160599999998
Maine,12.466863,507.9,#D5AB53,12.6190476,514.1,#3477A5,0.1521846
Oregon,12.725298800000001,1597.522881,#D5AB53,44.2938318,5560.61,#3477A5,31.568533
Alabama,13.414785600000002,1404.3,#D5AB53,31.252447900000004,3271.6,#3477A5,17.8376623
Georgia,14.860684699999998,4288.774541,#D5AB53,14.998336400000001,4328.5,#3477A5,0.13765170000000282
South Dakota,15.0990708,307.1,#D5AB53,15.0990708,307.1,#3477A5,0.0
Massachusetts,15.2852861,5902.971882,#D5AB53,16.601881,6411.42,#3477A5,1.3165948999999983
Texas,15.5610536,10057.0,#D5AB53,27.770686100000002,17948.0,#3477A5,12.209632500000003
Oklahoma,15.8509066,1180.1,#D5AB53,45.351242400000004,3376.4,#3477A5,29.500335800000002
New Hampshire,16.1367051,257.8,#D5AB53,26.8402604,428.8,#3477A5,10.703555299999998
Hawaii,16.963347000000002,1324.7,#D5AB53,27.8640935,2175.96,#3477A5,10.900746499999997
Vermont,19.6323196,415.2,#D5AB53,23.2816992,492.38,#3477A5,3.6493795999999996
Arkansas,19.6932914,1151.9,#D5AB53,24.2135677,1416.3,#3477A5,4.520276299999999
Nebraska,20.71479,997.5,#D5AB53,40.237571100000004,1937.6,#3477A5,19.522781100000003
Idaho,20.903366300000002,883.0,#D5AB53,25.974149,1097.2,#3477A5,5.070782699999999
West Virginia,21.4228313,1013.0,#D5AB53,35.6956182,1687.9,#3477A5,14.2727869
Colorado,22.3880216,3510.8,#D5AB53,22.3880216,3510.8,#3477A5,0.0
California,22.540610903786035,47342.0,#D5AB53,24.0523488,50517.1,#3477A5,1.5117378962139654
Connecticut,27.4070298,5591.5,#D5AB53,27.4070298,5591.5,#3477A5,0.0
New Mexico,27.6071633,2557.5,#D5AB53,30.5756755,2832.5,#3477A5,2.9685121999999993
North Dakota,30.7214388,751.6,#D5AB53,70.0183936,1713.0,#3477A5,39.296954799999995
Alaska,41.2745469,1963.1,#D5AB53,41.2745469,1963.1,#3477A5,0.0
Wyoming,95.7874271,1478.0,#D5AB53,95.7874271,1478.0,#3477A5,0.0
